id	gen	kind	description	val_mse	strength	verdict	commit
1	1	train	batch 256, lr 4e-3	0.10339	-	KEEP	3b39ea4
2	1	train	batch 512, lr 6e-3	0.10150	-	KEEP	8c76d2f
3	1	train	batch 1024, lr 8e-3	0.09885	-	KEEP	320f0aa
4	1	train	batch 2048, lr 1e-2	0.09705	-	KEEP	1fdb4cb
5	1	train	batch 4096, lr 1.5e-2	0.09727	-	REVERT	29bbc64
6	1	train	hidden [128,64]	0.10028	-	REVERT	a4fea04
7	1	train	cosine lr over the budget (was x0.7 per epoch)	0.09657	-	REVERT	a798c58
8	1	train	net.ts: allocation-free forward/backward (throughput)	0.09715	-	REVERT	fd844f9
9	1	train	fast loop + hidden [128,64] + cosine lr	0.09761	-	REVERT	895c9ed
10	1	features	features: remaining-bag composition (8 dims)	0.09667	-	REVERT	197a2ac
11	1	train	L2 1e-4 (was 1e-5)	0.09689	-	REVERT	da0837b
12	1	train	standardise inputs (folded into layer 0 at export)	0.10621	-	REVERT	4cd8ad2
13	1	train	fast loop + hidden [96,48]	0.09841	-	REVERT	a37281e
14	1	train	hidden [32,16] (smaller)	0.09758	-	REVERT	9e4357f
